id_cliente,idade,genero,cidade,canal_aquisicao,churn,recencia_dias,frequencia_compras,valor_total,ticket_medio,std_valor,cliente_sem_compra,compras_beleza,compras_casa,compras_eletrônicos,compras_esportes,compras_moda,metodo_preferido,dias_entre_compras,prop_compras_eletrônicos,prop_compras_moda,prop_compras_casa,prop_compras_esportes,prop_compras_beleza,ticket_medio_relativo,probabilidade_final,segmento_detalhado
1,40,F,RJ,Google,0,2057,7,2013.71,287.67,119.37,0,1,1,1,3,1,Cartão,244,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.1428571428571428,1.6742989855885326,0.56110394,Médio
2,33,F,RJ,Google,0,2125,4,368.54,92.14,71.5,0,3,0,0,0,1,Cartão,211,0.0,0.25,0.0,0.0,0.75,0.5362738851188076,0.5938322,Médio
3,42,M,SP,Indicação,0,2038,10,2396.42,239.64,205.7,0,1,2,2,1,4,Cartão,298,0.2,0.4,0.2,0.1,0.1,1.3947544370509122,0.110771,Muito Baixo
4,53,M,BH,Orgânico,1,2127,5,959.47,191.89,151.75,0,0,3,0,0,2,Boleto,218,0.0,0.4,0.6,0.0,0.0,1.11683954651018,0.6153566,Alto
5,32,M,BH,Orgânico,1,1970,2,438.31,219.16,63.51,0,0,1,1,0,0,Cartão,347,0.5,0.0,0.5,0.0,0.0,1.2755565949928138,0.7851693,Alto
6,32,F,SP,Indicação,0,1924,10,1371.8,137.18,91.81,0,3,1,1,1,4,Cartão,417,0.1,0.4,0.1,0.1,0.3,0.7984160143325161,0.10673307,Muito Baixo
7,53,F,RJ,Orgânico,1,2150,6,1038.79,173.13,83.49,0,0,2,2,1,1,Cartão,163,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.0,1.00765246071868,0.5913811,Médio
8,44,M,RJ,Google,1,2259,2,286.44,143.22,52.45,0,1,0,0,0,1,Boleto,32,0.0,0.5,0.0,0.0,0.5,0.8335700654082442,0.7479931,Alto
9,29,F,RJ,Google,0,2172,12,1288.49,107.37,120.74,0,1,2,5,2,2,Cartão,165,0.4166666666666667,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.6249156397352548,0.2365493,Baixo
10,41,M,SP,Facebook,0,2095,8,1328.31,166.04,85.41,0,2,1,2,0,3,Cartão,246,0.25,0.375,0.125,0.0,0.25,0.9663871921546212,0.5130049,Médio
