id_cliente,data_compra,valor,categoria,metodo_pagamento
1,2020-10-18 00:00:00.000000000,407.32,Beleza,Cartão
1,2020-08-28 00:00:00.000000000,402.5,Eletrônicos,Cartão
1,2020-02-17 00:00:00.000000000,369.74,Esportes,Pix
1,2020-03-31 00:00:00.000000000,204.93,Esportes,Cartão
1,2020-05-24 00:00:00.000000000,341.7,Esportes,Cartão
1,2020-04-04 00:00:00.000000000,137.48,Moda,Cartão
1,2020-06-17 00:00:00.000000000,150.04,Casa,Cartão
2,2020-02-19 03:30:24.302430243,15.06,Beleza,Cartão
2,2020-07-18 03:30:24.302430243,65.78,Beleza,Boleto
2,2020-01-13 03:30:24.302430243,184.79,Moda,Pix
2,2020-08-11 03:30:24.302430243,102.91,Beleza,Cartão
3,2020-02-17 07:00:48.604860486,121.49,Eletrônicos,Cartão
3,2020-02-26 07:00:48.604860486,101.81,Eletrônicos,Cartão
3,2020-06-18 07:00:48.604860486,23.31,Casa,Cartão
3,2020-11-06 07:00:48.604860486,162.68,Moda,Cartão
3,2020-02-10 07:00:48.604860486,191.14,Moda,Cartão
3,2020-05-08 07:00:48.604860486,168.77,Moda,Cartão
3,2020-02-10 07:00:48.604860486,629.04,Moda,Cartão
3,2020-04-28 07:00:48.604860486,545.75,Beleza,Pix
3,2020-01-15 07:00:48.604860486,371.21,Casa,Cartão
3,2020-01-13 07:00:48.604860486,81.22,Esportes,Cartão
4,2020-04-24 10:31:12.907290729,24.84,Casa,Cartão
4,2020-01-13 10:31:12.907290729,139.34,Casa,Boleto
4,2020-01-10 10:31:12.907290729,162.27,Casa,Boleto
4,2020-01-03 10:31:12.907290729,437.97,Moda,Cartão
4,2020-08-08 10:31:12.907290729,195.05,Moda,Pix
5,2021-01-12 14:01:37.209720972,174.25,Eletrônicos,Cartão
5,2020-01-31 14:01:37.209720972,264.06,Casa,Pix
6,2020-04-02 17:32:01.512151215,94.42,Esportes,Pix
6,2020-03-12 17:32:01.512151215,157.46,Beleza,Cartão
6,2020-04-05 17:32:01.512151215,33.08,Eletrônicos,Cartão
6,2020-02-29 17:32:01.512151215,374.99,Moda,Cartão
6,2020-02-25 17:32:01.512151215,118.8,Moda,Cartão
6,2020-01-23 17:32:01.512151215,129.44,Moda,Cartão
6,2020-09-24 17:32:01.512151215,92.21,Casa,Cartão
6,2020-01-07 17:32:01.512151215,169.55,Beleza,Cartão
